#item+hxltm_hashtag,#item+hxltm_optionem_terminum,#item+hxltm_optionem_hashtag,#item+hxltm_optionem_speciale,#meta+url,#item+standard+abbr,#item+standard+field,#item+standard+value,#description
#item +id,1,,,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,"body > termEntry id=""{1}""",,TBX-Basic-3.1: Concept level This level contains elements whose immediate parent is or can be <termEntry>
#item +id,1,,,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#unit,XLIFF,"xliff > file (> group?) > unit id=""{1}""",,"XLIFF 2.1: unit Static container for a dynamic structure of elements holding the extracted translatable source text, aligned with the Translated text. 
Attributes:
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,approved,"UTX 1.20: if the term status is left blank, it is considered as approved (a change from UTX 1.11). The term status of a term paired with a non-standard, forbidden, rejected, and obsolete term (explained later) can also be blank, which implicitly indicates approved status. See the example at the beginning of ""4.5 Term status field."""
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Usage status,,(not clear what TBX-Basic expect when empty value is provided)
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,xliff_initial,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#state,XLIFF,state,initial,XLIFF 2.1: initial - indicates the segment is in its initial state.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,xliff_translated,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#state,XLIFF,state,translated,XLIFF 2.1: translated - indicates the segment has been translated.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,xliff_reviewed,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#state,XLIFF,state,reviewed,XLIFF 2.1: reviewed - indicates the segment has been reviewed.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,xliff_final,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#state,XLIFF,state,final,XLIFF 2.1: final - indicates the segment is finalized and ready to be used.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_provisional,https://aamt.info/english/download/,XLIFF,state,provisional,"UTX 1.20: The term status ""provisional"" indicates that a target term is proposed by a contributor but not yet authorized by the glossary administrator. As provisional status is temporary, the glossary administrator should promptly decide the term status such as ""approved.""
Note: The glossary administrator may also choose to exclude (delete) the term from the glossary, or move it to another glossary."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_approved,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,approved,"UTX 1.20: The term status ""approved"" indicates that an entry has been approved for the particular glossary (domain) by the glossary administrator. An approved status indicates that the term must be used with the highest priority, whenever applicable. If a term has synonyms or alternative spellings, such as ""plug-in"" and ""plugin,"" only one of these should have approved status.
An approved term in one language is paired with another approved term in another language. If the parts of speech of these multiple entries are different, then they are different terms. For example, ""plot"" can be a noun and a verb, and each can have approved status."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_non-standard,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,non-standard,"UTX 1.20: The term status ""non-standard"" indicates one or more terms that are less-preferred within a group of synonyms or alternative spellings.
Note: The glossary administrator decides whether the term is less-preferred or not for a particular glossary. Therefore, this status could vary in different glossaries, or with a different glossary administrator."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_forbidden,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,forbidden,"UTX 1.20: The term status ""forbidden"" indicates that a term must not be used. A term is marked as forbidden not only for being inappropriate as a translation, but also if it is inappropriate within the context of the end-result document.
A forbidden term, unlike a non-standard term, should not be provided as a translation candidate.
Note: A term is “forbidden” because it is inappropriate from linguistic, social, terminological, branding, or other viewpoints.
Up to UTX 1.11, only a target term could be indicated as forbidden. UTX 1.20 allows any term (including a source term) to be indicated as forbidden.
Forbidden terms can be exported from a UTX glossary for terminological checking. Based on this information, a function of a translation tool or a dedicated terminological checker can ascertain whether translation files contain any undesirable terms."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_rejected,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,rejected,"UTX 1.20: The term status ""rejected"" indicates that a term is not appropriate for inclusion in a glossary. Rejected terms can be kept in the glossary for record keeping, moved into a separate list, or deleted at a later time."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,utx_obsolete,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,term status,obsolete,"UTX 1.20: The term status ""obsolete"" indicates that a term was previously used, but should no longer be used. Obsolete terms can be kept in the glossary for record keeping, moved into a separate list, or deleted at a later time."
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_preferred,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Usage status,preferred,"TBX-Basic-3.1: The term that, among a set of synonymous terms, is most recommended for use"
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_admitted,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Usage status,admitted,TBX-Basic-3.1:  The term is acceptable for use.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_notRecommended,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Usage status,notRecommended,TBX-Basic-3.1: The term should not be used.
#status+item+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_obsolete,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Usage status,obsolete,"TBX-Basic-3.1: The term is no longer used, usually because a more modern term has replaced it."
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,,http://docs.oasis-open.org/xliff/xliff-core/v2.1/os/xliff-core-v2.1-os.html#type,XLIFF,(not applicable),(not applicable),(This field is is not used by the XLIFF type spec)
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,,https://aamt.info/wp-content/uploads/2019/06/utx1.20-specification-e.pdf,UTX,,,TODO: investigate
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_fullForm,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,fullForm,TBX-Basic-3.1: The complete representation of a term for which there is an abbreviated form.
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_abbreviation,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,abbreviation,TBX-Basic-3.1: An abbreviated form that is formed by omitting letters from a longer form.
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_shortForm,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,shortForm,TBX-Basic-3.1: An abbreviated form that includes fewer words than the full form.
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_acronym,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,acronym,TBX-Basic-3.1: An abbreviated form that is made up of the initial letters of the components of the full form or from the syllables of the full form. 
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_variant,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,variant,"TBX-Basic-3.1: An alternative form of a term other than an abbreviated form. Variants can include words that have an alternative spelling, punctuation, capitalization, word formation, or even a numeric representation."
#meta+item+type+i_ZZ+i_ZZZ+is_ZZZZ+list,0,,tbx_phrase,http://www.terminorgs.net/downloads/TBX_Basic_Version_3.1.pdf,TBX-Basic,Term type picklist values,phrase,"TBX-Basic-3.1: Any group of two or more words that are frequently expressed together and that consist of more than one concept. The individual words in a phrase usually function in more than one grammatical category (part of speech) within the syntax of a sentence. Although phrases comprise more than one concept, they are often stored in single concept entries in terminological databases to address a need to record their translations for end-users. Examples:
• send feedback
• work offline"
